"time","consumption_rate","investment_rate","profit_mass","profit_rate","profit_share","saving_rate","utilization_rate","wage_mass","wage_share"
3.4,0.1502579978520552,0.1336009694437667,0.2422163962751008,0.08073879875836695,0.2844327925502015,0.1336009694437667,0.8515769018874656,0.6093605056123648,0.7155672074497985
3.6,0.1531817897968845,0.1337995276668903,0.2385256621387894,0.07950855404626313,0.2770513242775789,0.1337995276668903,0.8609439523913246,0.6224182902525353,0.7229486757224211
3.8,0.1567384014250867,0.1340957021240185,0.2342273552964345,0.07807578509881151,0.2684547105928689,0.1340957021240185,0.8725023106473156,0.6382749553508811,0.731545289407131
4,0.1609560075484602,0.1345209354106611,0.2293892626146236,0.07646308753820785,0.2587785252292473,0.1345209354106611,0.886430828877364,0.6570415662627405,0.7412214747707526
4.2,0.1658686677098696,0.1351116243628258,0.2240876837050857,0.07469589456836191,0.2481753674101715,0.1351116243628258,0.9029408762180861,0.6788531925130004,0.7518246325898285
4.4,0.1715162746241985,0.1359087541630091,0.2184062276342341,0.07280207587807802,0.2368124552684678,0.1359087541630091,0.9222750863616229,0.7038688587273888,0.7631875447315322
4.6,0.177943890480481,0.1369572371654184,0.2124344943582429,0.07081149811941431,0.2248689887164855,0.1369572371654184,0.944703382937698,0.732268888579455,0.7751310112835145
4.8,0.1852000396101859,0.138304777455284,0.2062666616782152,0.06875555389273839,0.2125333233564305,0.138304777455284,0.9705144511964098,0.7642477895181945,0.7874666766435695
5,0.1933333333333333,0.14,0.2,0.06666666666666665,0.2,0.14,0.9999999999999998,0.7999999999999998,0.8
5.2,0.2023865642132404,0.1420894813261844,0.1937333383217847,0.06457777944059491,0.1874666766435696,0.1420894813261844,1.033428136618274,0.8396947982964899,0.8125333233564305
5.4,0.2123871554224029,0.1446132110786748,0.1875655056417571,0.06252183521391905,0.1751310112835145,0.1446132110786748,1.071001099503233,0.883435593861476,0.8248689887164855
5.6,0.223332680863942,0.1475979410461941,0.1815937723657662,0.06053125745525541,0.1631875447315323,0.1475979410461941,1.112791865730408,0.9311980933646419,0.8368124552684677
5.8,0.2351702880390952,0.1510479281010163,0.1759123162949142,0.0586374387649714,0.1518246325898285,0.1510479281010163,1.158654648420334,0.9827423321254203,0.8481753674101715
6,0.2477696265694056,0.1549329077827099,0.1706107373853764,0.05687024579512545,0.1412214747707527,0.1549329077827099,1.208107603056346,1.03749686567097,0.8587785252292472
6.2,0.2608908446222297,0.1591739747534029,0.1657726447035655,0.05525754823452185,0.1315452894071311,0.1591739747534029,1.260194458126898,1.094421813423332,0.8684547105928688
6.4,0.2741528861718694,0.1636296191768613,0.1614743378612105,0.05382477928707016,0.1229486757224211,0.1636296191768613,1.313347516046192,1.151873178184982,0.8770513242775789
6.6,0.2870126642465984,0.1680864571699419,0.1577836037248991,0.05259453457496636,0.1155672074497985,0.1680864571699419,1.365297364249621,1.207513760524722,0.8844327925502015
6.8,0.2987710886044291,0.1722615086523836,0.154758647376699,0.05158621579223301,0.1095172947533981,0.1722615086523836,1.413097791770438,1.258339144393739,0.8904827052466019
7,0.3086232805997625,0.1758234557385389,0.1524471741852423,0.05081572472841411,0.1048943483704847,0.1758234557385389,1.453340209014904,1.300893034829662,0.8951056516295154
7.2,0.3157618299066791,0.1784366806638812,0.1508856374635656,0.05029521248785521,0.1017712749271311,0.1784366806638812,1.482595531711681,1.331709894248115,0.8982287250728689
7.4,0.3195207440150833,0.1798227941717747,0.1500986635785866,0.05003288785952885,0.1001973271571728,0.1798227941717747,1.498030614560574,1.347931950981988,0.8998026728428271
7.6,0.3195207440150833,0.1798227941717747,0.1500986635785866,0.05003288785952885,0.1001973271571728,0.1798227941717747,1.498030614560574,1.347931950981988,0.8998026728428271
7.8,0.3157618299066789,0.1784366806638811,0.1508856374635655,0.05029521248785518,0.1017712749271311,0.1784366806638811,1.48259553171168,1.331709894248114,0.8982287250728689
8,0.3086232805997624,0.1758234557385388,0.1524471741852423,0.05081572472841409,0.1048943483704846,0.1758234557385388,1.453340209014904,1.300893034829661,0.8951056516295154
8.199999999999999,0.2987710886044296,0.1722615086523838,0.1547586473766992,0.05158621579223305,0.109517294753398,0.1722615086523838,1.41309779177044,1.258339144393741,0.890482705246602
8.4,0.2870126642465989,0.1680864571699422,0.1577836037248993,0.05259453457496643,0.1155672074497985,0.1680864571699422,1.365297364249623,1.207513760524724,0.8844327925502015
8.6,0.2741528861718696,0.1636296191768614,0.1614743378612106,0.05382477928707019,0.122948675722421,0.1636296191768614,1.313347516046193,1.151873178184982,0.8770513242775789
8.800000000000001,0.2608908446222299,0.159173974753403,0.1657726447035657,0.05525754823452191,0.1315452894071312,0.159173974753403,1.260194458126898,1.094421813423333,0.8684547105928688
9,0.2477696265694053,0.1549329077827098,0.1706107373853762,0.05687024579512538,0.1412214747707527,0.1549329077827098,1.208107603056345,1.037496865670969,0.8587785252292474
9.199999999999999,0.2351702880390953,0.1510479281010164,0.1759123162949142,0.05863743876497139,0.1518246325898284,0.1510479281010164,1.158654648420335,0.9827423321254209,0.8481753674101716
9.4,0.2233326808639419,0.1475979410461939,0.181593772365766,0.06053125745525535,0.1631875447315322,0.1475979410461939,1.112791865730407,0.9311980933646414,0.8368124552684678
9.6,0.2123871554224032,0.1446132110786749,0.1875655056417573,0.06252183521391912,0.1751310112835145,0.1446132110786749,1.071001099503234,0.8834355938614771,0.8248689887164855
9.800000000000001,0.2023865642132405,0.1420894813261845,0.1937333383217849,0.06457777944059495,0.1874666766435696,0.1420894813261845,1.033428136618275,0.8396947982964901,0.8125333233564304
10,0.1933333333333335,0.1400000000000001,0.2000000000000001,0.06666666666666671,0.2,0.1400000000000001,1.000000000000001,0.8000000000000006,0.8
10.2,0.1852000396101861,0.1383047774552841,0.2062666616782153,0.06875555389273842,0.2125333233564303,0.1383047774552841,0.9705144511964108,0.7642477895181954,0.7874666766435696
10.4,0.1779438904804809,0.1369572371654184,0.2124344943582429,0.07081149811941428,0.2248689887164855,0.1369572371654184,0.9447033829376978,0.7322688885794549,0.7751310112835145
10.6,0.1715162746241985,0.135908754163009,0.218406227634234,0.07280207587807799,0.2368124552684678,0.135908754163009,0.9222750863616225,0.7038688587273886,0.7631875447315323
10.8,0.1658686677098696,0.1351116243628258,0.2240876837050858,0.07469589456836193,0.2481753674101716,0.1351116243628258,0.9029408762180862,0.6788531925130004,0.7518246325898285
11,0.1609560075484603,0.1345209354106612,0.2293892626146236,0.07646308753820789,0.2587785252292473,0.1345209354106612,0.8864308288773644,0.6570415662627407,0.7412214747707526
11.2,0.1567384014250867,0.1340957021240184,0.2342273552964343,0.07807578509881143,0.2684547105928688,0.1340957021240184,0.8725023106473151,0.6382749553508809,0.7315452894071313
11.4,0.1531817897968846,0.1337995276668904,0.2385256621387895,0.07950855404626317,0.2770513242775789,0.1337995276668904,0.860943952391325,0.6224182902525356,0.7229486757224211
11.6,0.1502579978520552,0.1336009694437667,0.2422163962751008,0.08073879875836694,0.2844327925502015,0.1336009694437667,0.8515769018874656,0.6093605056123648,0.7155672074497985
11.8,0.14794446344961,0.1334737279422046,0.2452413526233009,0.08174711754110031,0.290482705246602,0.1334737279422046,0.8442545741754439,0.599013221552143,0.7095172947533981
12,0.1462238292971045,0.1333967342172613,0.2475528258147576,0.0825176086049192,0.2951056516295154,0.1333967342172613,0.8388616905430974,0.5913088647283398,0.7048943483704846
12.2,0.1450835188124362,0.1333541830728825,0.2491143625364344,0.08303812084547812,0.2982287250728688,0.1333541830728825,0.8353131056559561,0.5861987431195217,0.7017712749271312
12.4,0.1445153697250397,0.1333355402882781,0.2499013364214136,0.08330044547380454,0.2998026728428272,0.1333355402882781,0.8335527300399533,0.5836513936185398,0.7001973271571729
12.6,0.1445153697250396,0.133335540288278,0.2499013364214135,0.08330044547380448,0.2998026728428272,0.133335540288278,0.8335527300399529,0.5836513936185395,0.7001973271571729
12.8,0.1450835188124362,0.1333541830728825,0.2491143625364344,0.08303812084547814,0.2982287250728689,0.1333541830728825,0.8353131056559561,0.5861987431195217,0.7017712749271311
