"time","H_stock","der(H_stock)","X_center","X_continuous_level","X_cycle_time","X_phase","X_step_index","X_step_progress","X_triangle","X_within_step","consumption_rate","hoard_propensity","hoarding_flow","investment_rate","profit_mass","profit_rate","profit_share","saving_rate","utilization_rate","wage_mass","wage_share"
20.833333333946,0.01225070807438482,-2.450460081427817e-13,2,0.5555555555718934,300,20.833333333946,0,0.7523361989218118,0.1388888888929734,0.5555555555718934,0.05500000000378779,-1.000129978834252e-10,-2.450460081427817e-13,0.04500000000673594,0.0750000000178941,0.0250000000059647,0.2500000000333377,0.04500000000673594,0.3000000000315712,0.2250000000136771,0.7499999999666623
20.84,0.01225069919474274,-2.663204152851934e-06,2,0.5557333333333333,300,20.84,0,0.7529980983291247,0.1389333333333333,0.5557333333333333,0.05504105029924187,-0.001086960062652922,-2.663204152851934e-06,0.04507315758611859,0.07519447610255225,0.02506482536751742,0.250362320163576,0.04507315758611859,0.3003426236560814,0.2251481475535291,0.749637679836424
20.88,0.01225027570451817,-1.850341766555676e-05,2,0.5568,300,20.88,0,0.756944477424667,0.1392,0.5568,0.05528048022213163,-0.007552245399151425,-1.850341766555676e-05,0.04550627683416857,0.07635124858639254,0.02545041619546418,0.2525174629961295,0.04550627683416857,0.3023602711689006,0.2260090225825081,0.7474825370038705
20.92,0.01224922687514935,-3.409549111050733e-05,2,0.5578666666666667,300,20.92,0,0.7608478299877741,0.1394666666666667,0.5578666666666667,0.05550842347230715,-0.01391740534240518,-3.409549111050733e-05,0.04592938000020764,0.07749019479226606,0.02583006493075535,0.254639434673427,0.04592938000020764,0.3043134104175443,0.2268232156252783,0.745360565326573
20.96,0.01224756543806443,-4.942614180084913e-05,2,0.5589333333333334,300,20.96,0,0.7647079821973233,0.1397333333333333,0.5589333333333334,0.05572528081060729,-0.02017794558877666,-4.942614180084913e-05,0.04634242839464371,0.07861057816534202,0.026203526055114,0.2567268949126756,0.04634242839464371,0.306203127615753,0.227592549450411,0.7432731050873245
21,0.01224530823549632,-6.448254150180159e-05,2,0.5600000000000001,300,21,0,0.7685247834990179,0.14,0.5600000000000001,0.05593144538942197,-0.02632948892004269,-6.448254150180159e-05,0.04674538383036159,0.07971167532213262,0.02657055844071088,0.2587785252292473,0.04674538383036159,0.3080304876593507,0.2283188123372181,0.7412214747707527
21.04,0.01224245057388543,-7.925218589211955e-05,2,0.5610666666666666,300,21.04,0,0.7722981062063321,0.1402666666666667,0.5610666666666666,0.05612730196548542,-0.03236777858069269,-7.925218589211955e-05,0.047138208217834,0.08079277581419085,0.02693092527139695,0.2607930297694605,0.047138208217834,0.3097965305499583,0.2290037547357674,0.7392069702305395
21.08,0.01223901959206681,-9.372318390799575e-05,2,0.5621333333333333,300,21.08,0,0.7760278450847663,0.1405333333333333,0.5621333333333333,0.05631322761856111,-0.03828868121460725,-9.372318390799575e-05,0.04752086440340474,0.08185318398407496,0.02728439466135832,0.2627691361290699,0.04752086440340474,0.3115022760658975,0.2296490920818226,0.7372308638709301
21.12,0.01223501857274508,-0.0001078839631455653,2,0.5632,300,21.12,0,0.7797139169206129,0.1408,0.5632,0.05648959045387854,-0.04408818936568243,-0.0001078839631455653,0.04789331530714797,0.08289221789420002,0.02763073929806667,0.2647055961569444,0.04789331530714797,0.3131487172830795,0.2302564993888795,0.7352944038430556
21.16,0.01223043948415041,-0.0001217232619619247,2,0.5642666666666667,300,21.16,0,0.7833562600754442,0.1410666666666667,0.5642666666666667,0.05665674935998141,-0.04976242354972915,-0.0001217232619619247,0.04825552392042694,0.08390920968152221,0.0279697365605074,0.2666011867434252,0.04825552392042694,0.314736819841225,0.2308276101597028,0.7333988132565747
